index,artist,country,genre,gender,group_size,debut_album_year,track_name,uri,image_uri,song_uri,song_image_uri,embedded_track
1178,Kenny Chesney,us,Country,m,1,1994,American Kids,spotify:artist:3grHWM9bx2E9vwJCdlRv9O,https://i.scdn.co/image/ab6761610000e5ebe5289a2a13c374dd34a97247,https://p.scdn.co/mp3-preview/7dd53c58055b79039b1d2001c200ed67c98dcb3e?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b2730dafd3fe4c2795f4ffb5a2ea,https://open.spotify.com/embed/track/1dgWTMoHwTUnQhOQ8SR5fV
1179,JP Cooper,gb,Pop,m,1,2017,Perfect Strangers,spotify:artist:4kYGAK2zu9EAomwj3hXkXy,https://i.scdn.co/image/ab6761610000e5eb28dd5fb1d08130ecfaaee780,https://p.scdn.co/mp3-preview/c371e98b8a3354ae8e8b0b01fbefdab95a3d31fe?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b2735b6bcc59c3562a6f362344c6,https://open.spotify.com/embed/track/3P3pw6C19j31Rnzgo3JG7o
1180,Gryffin,us,Electronic,m,1,2019,Woke Up in Love,spotify:artist:2ZRQcIgzPCVaT9XKhXZIzh,https://i.scdn.co/image/ab6761610000e5ebc6a210bb15839175957b812d,https://p.scdn.co/mp3-preview/93457e0a27ca5094efcdb9a5141ac1912fa89da8?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b273c5ebb5d70f71435fa7298607,https://open.spotify.com/embed/track/07QIetdCyAEox3Q5qqJT43
1181,Keith Urban,au,Country,m,1,1997,Brown Eyes Baby,spotify:artist:0u2FHSq3ln94y5Q57xazwf,https://i.scdn.co/image/ab6761610000e5eb011f9b2f5c8e0dac63aa5b73,https://p.scdn.co/mp3-preview/672602e0f1cef020694cdad88a27ee97ab2a14f7?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b27346e8f55d996d216b46ab46b1,https://open.spotify.com/embed/track/5JLf54f83nJrxD4IhFaLl7
1182,Aminé,us,Hip Hop,m,1,2017,REEL IT IN,spotify:artist:3Gm5F95VdRxW3mqCn8RPBJ,https://i.scdn.co/image/ab6761610000e5eb1f98760ed5b47b21eaf56e8f,https://p.scdn.co/mp3-preview/223c9178721ebee4fca26866657b84853a0be917?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b273a52fb68f00620e45ed7467c5,https://open.spotify.com/embed/track/5qHirGR7M9tdm6C17DlzSY
1183,Ella Fitzgerald,us,Jazz,f,1,1947,Sleigh Ride,spotify:artist:5V0MlUE1Bft0mbLlND7FJz,https://i.scdn.co/image/3c1d23141059785c8a863137d176319329dc17ef,https://p.scdn.co/mp3-preview/23435c52957e6c5b5d87651940cf76a7ec6a705d?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b27356849c42c652a7e4025fd6eb,https://open.spotify.com/embed/track/0KBvapFwuz8gPKu6Gw23WN
1184,Astrid S,no,Pop,f,1,2020,Hurts So Good,spotify:artist:3AVfmawzu83sp94QW7CEGm,https://i.scdn.co/image/ab6761610000e5ebfc01ffc12dae96d060cb74c4,https://p.scdn.co/mp3-preview/f7e84b1e7a3c13bddb4de81ec8fc56c1d014102c?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b273d1bc0ae272f8d507108b683e,https://open.spotify.com/embed/track/46u5B2WN4wryYLZuMAOmI4
1185,Cascada,de,Electronic,f,1,2006,Everytime We Touch,spotify:artist:0N0d3kjwdY2h7UVuTdJGfp,https://i.scdn.co/image/ab6761610000e5eba753dbba29da937cc0f4224b,https://p.scdn.co/mp3-preview/7a34e01fad57b4862f4799afb46f3a1efb0fcaff?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b273e0c8b75abb6704283aa645aa,https://open.spotify.com/embed/track/5YJtMNWKe55yr49cyJgxva
1186,Sleeping At Last,us,Pop,m,3,2003,You Are Enough,spotify:artist:0MeLMJJcouYXCymQSHPn8g,https://i.scdn.co/image/ab6761610000e5eb4a32bec7d51c0ca91969987e,https://p.scdn.co/mp3-preview/12547b7d7af4dd8ae412f9204d35fd06039d7ad1?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b273e46541278af6c9ba6881cb7e,https://open.spotify.com/embed/track/2kfGoV9a5dbSKCNmUWH2ZF
1187,Willow Smith,us,Pop,f,1,2015,Wait a Minute!,spotify:artist:3rWZHrfrsPBxVy692yAIxF,https://i.scdn.co/image/ab6761610000e5eb4ce5f9fdf769f2606f23e72c,https://p.scdn.co/mp3-preview/6da3eed0a6236bc7baa7fb1fcaf470ebc6caa804?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b2736ee651e65c3766d80e7fcab7,https://open.spotify.com/embed/track/0y60itmpH0aPKsFiGxmtnh
1188,Willie Nelson,us,Country,m,1,1962,Highwayman,spotify:artist:5W5bDNCqJ1jbCgTxDD0Cb3,https://i.scdn.co/image/ab6772690000c46ca07b9db029b749adaba3c618,https://p.scdn.co/mp3-preview/5f9499330054385118929b2af715ea5b0fcde96b?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b2735b819ab33345f5e4c7092233,https://open.spotify.com/embed/track/7jWbXvrgdbkajU8L28ahn5
1189,Young Dolph,us,Hip Hop,m,1,2010,Get Away,spotify:artist:3HiuzBlSW7pGDXlSFMhO2g,https://i.scdn.co/image/ab6761610000e5eb392af601eddfa5a0c705141d,https://p.scdn.co/mp3-preview/41282a628ae09f39bad892e47215f8ee720bf62a?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b2735283becb004310d5a5025bcd,https://open.spotify.com/embed/track/6Cd2mbhIjKqsDug0OKioM4
